orderID,Date,userName,orderType,customerName,customerContact,deliveryAddress,orderItems,totalPrice,orderStatus
ORD177930000030,2026-04-15T14:55:22.789,Taiba1,TAKEAWAY,Rida,N/A,,MI1779393036640:1;,300.0,COMPLETED
ORD177930000031,2026-04-16T17:35:10.111,Taiba1,TAKEAWAY,Walk-in Customer,N/A,,MI1779393156355:2;,500.0,COMPLETED
ORD177930000032,2026-04-16T19:20:45.444,Taiba1,DELIVERY,Nabeel,03239990001,Flat 5C Orchard Heights,MI1779392936839:2;,1380.0,COMPLETED
ORD177930000033,2026-04-17T21:40:18.777,Taiba1,TAKEAWAY,Sara,N/A,,MI1779393126797:1;MI1779393089163:1;,900.0,COMPLETED
ORD177930000034,2026-04-17T10:15:05.222,Taiba1,TAKEAWAY,Walk-in Customer,N/A,,MI1779393189729:1;,550.0,CANCELLED
ORD177930000035,2026-04-18T13:45:30.666,Taiba1,DELIVERY,Waqas,03021113334,House 50 Street 12 Sector I8,MI1779393036640:2;MI1779393126797:2;,1040.0,COMPLETED
ORD177930000036,2026-04-18T15:22:12.111,Taiba1,TAKEAWAY,Aima,N/A,,MI1779392994043:2;,1440.0,COMPLETED
ORD177930000037,2026-04-19T18:10:45.555,Taiba1,TAKEAWAY,Walk-in Customer,N/A,,MI1779393156355:2;,500.0,COMPLETED
ORD177930000038,2026-04-19T20:30:18.999,Taiba1,DELIVERY,Tayyab,03442224445,H94 Street 2A Block G,MI1779393089163:1;,680.0,COMPLETED
ORD177930000039,2026-04-20T22:45:55.444,Taiba1,TAKEAWAY,Maha,N/A,,MI1779393126797:2;,440.0,COMPLETED
ORD177930000040,2026-04-20T11:35:12.888,Taiba1,TAKEAWAY,Walk-in Customer,N/A,,MI1779393189729:1;MI1779393156355:2;,1050.0,COMPLETED
ORD177930000041,2026-04-21T14:15:40.333,Taiba1,DELIVERY,Farhan,03063335556,House 77 Street 14 Phase 5,MI1779392936839:2;,1380.0,COMPLETED
ORD177930000042,2026-04-21T16:50:22.777,Taiba1,TAKEAWAY,Shar,N/A,,MI1779393036640:1;,300.0,COMPLETED
ORD177930000043,2026-04-22T19:22:11.222,Taiba1,TAKEAWAY,Walk-in Customer,N/A,,MI1779393126797:1;,220.0,COMPLETED
ORD177930000044,2026-04-22T21:10:45.666,Taiba1,DELIVERY,Adeel,03154446667,Flat 3A Executive Heights,MI1779393089163:1;MI1779392994043:2;,2120.0,COMPLETED
ORD177930000045,2026-04-23T23:35:18.111,Taiba1,TAKEAWAY,Laiba,N/A,,MI1779393156355:2;,500.0,COMPLETED
ORD177930000046,2026-04-23T10:45:12.555,Taiba1,TAKEAWAY,Walk-in Customer,N/A,,MI1779393189729:1;,550.0,COMPLETED
ORD177930000047,2026-04-24T13:22:30.999,Taiba1,DELIVERY,Shahzad,03245557778,House 12 Street 6 Sector G10,MI1779393036640:2;,600.0,COMPLETED
ORD177930000048,2026-04-24T15:40:55.444,Taiba1,TAKEAWAY,Esha,N/A,,MI1779393126797:2;,440.0,COMPLETED
ORD177930000049,2026-04-25T18:15:18.888,Taiba1,TAKEAWAY,Walk-in Customer,N/A,,MI1779393089163:1;MI1779393156355:2;,1180.0,COMPLETED
ORD177930000050,2026-04-25T20:50:42.333,Taiba1,DELIVERY,Kamran,03356668889,H65 Street 8 Block B,MI1779392936839:2;,1380.0,COMPLETED
ORD177930000051,2026-04-26T22:35:11.777,Taiba1,TAKEAWAY,Nimra,N/A,,MI1779393189729:1;,550.0,COMPLETED
ORD177930000052,2026-04-26T11:12:40.222,Taiba1,TAKEAWAY,Walk-in Customer,N/A,,MI1779393126797:1;,220.0,CANCELLED
ORD177930000053,2026-04-27T14:35:15.666,Taiba1,DELIVERY,Asif,03077779990,House 41 Street 15 Phase 6,MI1779393036640:1;MI1779393156355:2;,800.0,COMPLETED
ORD177930000054,2026-04-27T16:55:30.111,Taiba1,TAKEAWAY,Iqra,N/A,,MI1779393089163:1;,680.0,COMPLETED
ORD177930000055,2026-04-28T19:22:45.555,Taiba1,TAKEAWAY,Walk-in Customer,N/A,,MI1779392994043:2;,1440.0,COMPLETED
ORD177930000056,2026-04-28T21:40:12.999,Taiba1,DELIVERY,Daniyal,03168880001,Flat 90 Block F Garden Town,MI1779393126797:2;,440.0,COMPLETED
ORD177930000057,2026-04-29T23:15:55.444,Taiba1,TAKEAWAY,Sadia,N/A,,MI1779393189729:1;,550.0,COMPLETED
ORD177930000058,2026-04-29T10:22:11.888,Taiba1,TAKEAWAY,Walk-in Customer,N/A,,MI1779393089163:1;MI1779393126797:2;,1120.0,COMPLETED
ORD177930000059,2026-04-30T13:40:45.333,Taiba1,DELIVERY,Arsalan,03259991112,House 33 Street 4 Sector I9,MI1779393156355:2;,500.0,COMPLETED
ORD177930000060,2026-04-30T15:15:30.777,Taiba1,TAKEAWAY,Zara,N/A,,MI1779393036640:2;,600.0,COMPLETED
ORD177930000061,2026-05-01T17:50:12.222,Taiba1,TAKEAWAY,Walk-in Customer,N/A,,MI1779393189729:1;MI1779393126797:1;,770.0,COMPLETED
ORD177930000062,2026-05-01T20:22:45.666,Taiba1,DELIVERY,Rehman,03360002223,H102 Street 1 Block D,MI1779392936839:2;,1380.0,COMPLETED
ORD177930000063,2026-05-01T22:10:18.111,Taiba1,TAKEAWAY,Yumna,N/A,,MI1779393089163:1;,680.0,COMPLETED
ORD177930000064,2026-05-02T11:45:55.555,Taiba1,TAKEAWAY,Walk-in Customer,N/A,,MI1779392994043:2;,1440.0,COMPLETED
ORD177930000065,2026-05-02T14:22:12.999,Taiba1,DELIVERY,Haroon,03471113334,House 56 Street 7 Phase 2,MI1779393126797:2;,440.0,COMPLETED
ORD177930000066,2026-05-02T16:35:45.444,Taiba1,TAKEAWAY,Sonia,N/A,,MI1779393156355:2;,500.0,COMPLETED
ORD177930000067,2026-05-03T19:12:10.888,Taiba1,TAKEAWAY,Walk-in Customer,N/A,,MI1779393189729:1;,550.0,COMPLETED
ORD177930000068,2026-05-03T21:40:35.333,Taiba1,DELIVERY,Junaid,03082224445,Flat 44 Block C Civic Center,MI1779393036640:1;MI1779393126797:2;,740.0,COMPLETED
ORD177930000069,2026-05-03T23:22:18.777,Taiba1,TAKEAWAY,Alina,N/A,,MI1779393089163:1;,680.0,COMPLETED
ORD177930000070,2026-05-04T10:15:45.222,Taiba1,TAKEAWAY,Walk-in Customer,N/A,,MI1779392936839:2;,1380.0,CANCELLED
ORD177930000071,2026-05-04T13:42:12.666,Taiba1,DELIVERY,Noman,03173335556,House 89 Street 3 Sector F11,MI1779393189729:1;MI1779393156355:2;,1050.0,COMPLETED
ORD177930000072,2026-05-04T15:55:30.111,Taiba1,TAKEAWAY,Mahnoor,N/A,,MI1779393126797:1;,220.0,COMPLETED
ORD177930000073,2026-05-05T18:20:45.555,Taiba1,TAKEAWAY,Walk-in Customer,N/A,,MI1779393089163:1;MI1779392994043:2;,2120.0,COMPLETED
ORD177930000074,2026-05-05T20:42:12.999,Taiba1,DELIVERY,Sami,03264446667,H14 Street 5 Block E,MI1779393036640:2;,600.0,COMPLETED
ORD177930000075,2026-05-05T22:15:55.444,Taiba1,TAKEAWAY,Rania,N/A,,MI1779393156355:2;,500.0,COMPLETED
ORD177930000076,2026-05-06T11:35:11.888,Taiba1,TAKEAWAY,Walk-in Customer,N/A,,MI1779393189729:1;,550.0,COMPLETED
ORD177930000077,2026-05-06T14:12:40.333,Taiba1,DELIVERY,Zouhair,03375557778,House 102 Street 12 Phase 3,MI1779393126797:2;,440.0,COMPLETED
ORD177930000078,2026-05-06T16:50:15.777,Taiba1,TAKEAWAY,Fiza,N/A,,MI1779393089163:1;,680.0,COMPLETED
ORD177930000079,2026-05-07T19:22:45.222,Taiba1,TAKEAWAY,Walk-in Customer,N/A,,MI1779392936839:2;,1380.0,COMPLETED
ORD177930000080,2026-05-07T21:10:12.666,Taiba1,DELIVERY,Waseem,03486668889,Flat 23 Block G Model Town,MI1779393156355:2;MI1779393036640:1;,800.0,COMPLETED
ORD177930000081,2026-05-07T23:35:55.111,Taiba1,TAKEAWAY,Maira,N/A,,MI1779393126797:1;,220.0,COMPLETED
ORD177930000082,2026-05-08T10:45:18.555,Taiba1,TAKEAWAY,Walk-in Customer,N/A,,MI1779393189729:1;,550.0,COMPLETED
ORD177930000083,2026-05-08T13:22:42.999,Taiba1,DELIVERY,Faizan,03097779990,House 67 Street 9 Sector G11,MI1779393089163:1;MI1779392994043:2;,2120.0,COMPLETED
ORD177930000084,2026-05-08T15:40:11.444,Taiba1,TAKEAWAY,Zunaira,N/A,,MI1779393126797:2;,440.0,COMPLETED
ORD177930000085,2026-05-09T18:15:35.888,Taiba1,TAKEAWAY,Walk-in Customer,N/A,,MI1779393156355:2;,500.0,COMPLETED
ORD177930000086,2026-05-09T20:50:12.333,Taiba1,DELIVERY,Ahtisham,03108880001,H12 Street 2 Block A,MI1779393036640:2;,600.0,COMPLETED
ORD177930000087,2026-05-09T22:35:45.777,Taiba1,TAKEAWAY,Kinza,N/A,,MI1779393189729:1;,550.0,COMPLETED
ORD177930000088,2026-05-10T11:12:11.222,Taiba1,TAKEAWAY,Walk-in Customer,N/A,,MI1779392936839:2;,1380.0,COMPLETED
ORD177930000089,2026-05-10T14:35:40.666,Taiba1,DELIVERY,Rizwan,03209991112,House 34 Street 14 Phase 7,MI1779393089163:1;MI1779393126797:2;,1120.0,COMPLETED
ORD177930000090,2026-05-10T09:15:30.123,Taiba1,TAKEAWAY,Laiba,N/A,,MI1779393189729:1;,550.0,COMPLETED
ORD177930000091,2026-05-11T12:45:12.789,Taiba1,DELIVERY,Tariq,03312223334,House 15 Street 1 Block C,MI1779393036640:2;,600.0,COMPLETED
ORD177930000092,2026-05-11T14:22:45.345,Taiba1,TAKEAWAY,Walk-in Customer,N/A,,MI1779393156355:2;MI1779393126797:2;,940.0,COMPLETED
ORD177930000093,2026-05-11T16:55:18.987,Taiba1,TAKEAWAY,Sana,N/A,,MI1779393089163:1;,680.0,COMPLETED
ORD177930000094,2026-05-12T19:20:42.111,Taiba1,DELIVERY,Umair,03423334445,Flat 7B Askari Villas,MI1779392994043:2;,1440.0,COMPLETED
ORD177930000095,2026-05-12T21:40:11.555,Taiba1,TAKEAWAY,Walk-in Customer,N/A,,MI1779393126797:1;,220.0,COMPLETED
ORD177930000096,2026-05-12T10:35:55.999,Taiba1,TAKEAWAY,Zain,N/A,,MI1779392936839:2;,1380.0,CANCELLED
ORD177930000097,2026-05-13T13:12:12.444,Taiba1,DELIVERY,Mehak,03034445556,House 99 Street 4 Sector E11,MI1779393189729:1;MI1779393156355:2;,1050.0,COMPLETED
ORD177930000098,2026-05-13T15:50:45.888,Taiba1,TAKEAWAY,Walk-in Customer,N/A,,MI1779393036640:1;,300.0,COMPLETED
ORD177930000099,2026-05-13T18:15:11.333,Taiba1,TAKEAWAY,Awan,N/A,,MI1779393126797:2;,440.0,COMPLETED
ORD177930000100,2026-05-14T20:50:35.777,Taiba1,DELIVERY,Ahsan,03145556667,H45 Block D Satellite Town,MI1779393089163:1;MI1779392994043:2;,2120.0,COMPLETED
ORD177930000101,2026-05-14T22:35:18.222,Taiba1,TAKEAWAY,Walk-in Customer,N/A,,MI1779393156355:2;,500.0,COMPLETED
ORD177930000102,2026-05-14T11:12:42.666,Taiba1,TAKEAWAY,Saira,N/A,,MI1779393189729:1;,550.0,COMPLETED
ORD177930000103,2026-05-15T14:35:11.111,Taiba1,DELIVERY,Bilal,03256667778,House 26 Street 8 Phase 4,MI1779392936839:2;,1380.0,COMPLETED
ORD177930000104,2026-05-15T16:55:45.555,Taiba1,TAKEAWAY,Walk-in Customer,N/A,,MI1779393126797:1;MI1779393089163:1;,900.0,COMPLETED
ORD177930000105,2026-05-15T19:22:12.999,Taiba1,TAKEAWAY,Maryum,N/A,,MI1779393036640:2;,600.0,COMPLETED
ORD177930000106,2026-05-16T21:40:55.444,Taiba1,DELIVERY,Shahid,03367778889,Flat 15C Executive Enclave,MI1779393156355:2;,500.0,COMPLETED
ORD177930000107,2026-05-16T23:15:18.888,Taiba1,TAKEAWAY,Walk-in Customer,N/A,,MI1779393189729:1;,550.0,COMPLETED
ORD177930000108,2026-05-16T10:22:42.333,Taiba1,TAKEAWAY,Hassan,N/A,,MI1779393089163:1;MI1779393126797:2;,1120.0,COMPLETED
ORD177930000109,2026-05-17T13:40:11.777,Taiba1,DELIVERY,Ayesha,03478889990,House 82 Street 11 Sector F10,MI1779392994043:2;,1440.0,COMPLETED
ORD177930000110,2026-05-17T15:15:35.222,Taiba1,TAKEAWAY,Walk-in Customer,N/A,,MI1779393156355:2;,500.0,COMPLETED
ORD177930000111,2026-05-17T17:50:12.666,Taiba1,TAKEAWAY,Daud,N/A,,MI1779393036640:1;,300.0,COMPLETED
ORD177930000112,2026-05-18T20:22:45.111,Taiba1,DELIVERY,Saba,03049990001,H18 Street 6 Block B,MI1779393189729:1;MI1779393126797:1;,770.0,COMPLETED
ORD177930000113,2026-05-18T22:10:11.555,Taiba1,TAKEAWAY,Walk-in Customer,N/A,,MI1779392936839:2;,1380.0,COMPLETED
ORD177930000114,2026-05-18T11:45:35.999,Taiba1,TAKEAWAY,Babar,N/A,,MI1779393089163:1;,680.0,CANCELLED
ORD177930000115,2026-05-19T14:22:12.444,Taiba1,DELIVERY,Faiza,03151112223,House 54 Street 9 Phase 1,MI1779393156355:2;MI1779393036640:1;,800.0,COMPLETED
ORD177930000116,2026-05-19T16:35:55.888,Taiba1,TAKEAWAY,Walk-in Customer,N/A,,MI1779393126797:2;,440.0,COMPLETED
ORD177930000117,2026-05-19T19:12:18.333,Taiba1,TAKEAWAY,Moazzam,N/A,,MI1779393189729:1;,550.0,COMPLETED
ORD177930000118,2026-05-20T21:40:42.777,Taiba1,DELIVERY,Sidra,03262223334,Flat 104 Block E Garden Town,MI1779393089163:1;MI1779392994043:2;,2120.0,COMPLETED
ORD177930000119,2026-05-20T23:22:11.222,Taiba1,TAKEAWAY,Walk-in Customer,N/A,,MI1779392936839:2;,1380.0,COMPLETED
ORD177930000120,2026-05-20T10:15:35.666,Taiba1,TAKEAWAY,Zubair,N/A,,MI1779393126797:1;,220.0,COMPLETED
ORD177930000121,2026-05-21T13:42:12.111,Taiba1,DELIVERY,Sadia,03373334445,House 11 Street 2 Sector G9,MI1779393156355:2;,500.0,COMPLETED
ORD177930000122,2026-05-21T15:55:45.555,Taiba1,TAKEAWAY,Walk-in Customer,N/A,,MI1779393036640:2;,600.0,COMPLETED
ORD177930000123,2026-05-21T18:20:12.999,Taiba1,TAKEAWAY,Imran,N/A,,MI1779393189729:1;MI1779393126797:2;,990.0,COMPLETED
ORD177930000124,2026-05-21T20:42:35.444,Taiba1,DELIVERY,Rimsha,03484445556,H88 Street 14 Phase 5,MI1779393089163:1;,680.0,COMPLETED
ORD177930000125,2026-05-21T22:15:18.888,Taiba1,TAKEAWAY,Walk-in Customer,N/A,,MI1779392994043:2;,1440.0,COMPLETED
ORD177930000126,2026-05-21T11:35:42.333,Taiba1,TAKEAWAY,Waleed,N/A,,MI1779393156355:2;,500.0,COMPLETED
ORD177930000127,2026-05-22T00:12:11.777,Taiba1,DELIVERY,Amara,03055556667,House 63 Street 5 Sector F11,MI1779392936839:2;,1380.0,COMPLETED
ORD177930000128,2026-05-22T01:31:42.612,Taiba1,TAKEAWAY,Taiba,N/A,,MI1779393089163:1;MI1779393126797:2;,1120.0,COMPLETED
ORD177930000129,2026-05-22T01:32:38.058,Taiba1,TAKEAWAY,Khosa,03035542218,,MI1779393189729:1;MI1779393156355:2;MI1779393036640:1;,1350.0,COMPLETED
ORD177930000130,2026-05-22T01:33:59.044,Taiba1,TAKEAWAY,Walk-in Customer,N/A,,MI1779393036640:2;MI1779393126797:2;,1040.0,COMPLETED
ORD177930000131,2026-05-22T01:34:29.397,Taiba1,TAKEAWAY,Laraib,N/A,,MI1779393089163:1;MI1779392994043:2;MI1779393126797:2;,2560.0,COMPLETED
ORD177930000132,2026-05-22T01:35:14.208,Taiba1,TAKEAWAY,Ahmad,N/A,,MI1779393126797:1;,220.0,COMPLETED
ORD177930000133,2026-05-22T01:39:47.871,Taiba1,TAKEAWAY,Walk-in Customer,N/A,,MI1779393156355:2;,500.0,CANCELLED
ORD177930000134,2026-05-22T01:39:19.339,Taiba1,DELIVERY,Sara,03035542218,H23 st 14 block H,MI1779392936839:2;,1380.0,OUT_FOR_DELIVERY
ORD177930000135,2026-05-22T01:40:49.375,Taiba1,DELIVERY,Moiz,0303112973,H23 st 14,MI1779393189729:1;,550.0,PENDING
ORD1779397545762,2026-05-22T02:05:45.762129600,Taiba1,TAKEAWAY,Walk-in Customer,N/A,,MI1779392994043:2;MI1779393156355:1;MI1779393189729:1;MI1779393036640:1;,2540.0,PENDING
